Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
05/11/2013 12:00:00 AM,5,0,0,0,5
05/11/2013 01:00:00 AM,4,0,0,0,4
05/11/2013 02:00:00 AM,2,0,0,0,2
05/11/2013 03:00:00 AM,1,0,0,0,1
05/11/2013 04:00:00 AM,0,0,0,0,0
05/11/2013 05:00:00 AM,3,0,0,2,1
05/11/2013 06:00:00 AM,11,0,0,4,7
05/11/2013 07:00:00 AM,49,0,0,26,23
05/11/2013 08:00:00 AM,46,0,0,27,19
05/11/2013 09:00:00 AM,91,0,0,39,52
05/11/2013 10:00:00 AM,86,0,0,45,41
05/11/2013 11:00:00 AM,112,0,0,65,47
05/11/2013 12:00:00 PM,180,0,0,122,58
05/11/2013 01:00:00 PM,144,0,0,57,87
05/11/2013 02:00:00 PM,190,0,0,102,88
05/11/2013 03:00:00 PM,195,0,0,54,141
05/11/2013 04:00:00 PM,185,0,0,70,115
05/11/2013 05:00:00 PM,171,0,0,75,96
05/11/2013 06:00:00 PM,129,0,0,64,65
05/11/2013 07:00:00 PM,67,0,0,22,45
05/11/2013 08:00:00 PM,32,0,0,13,19
05/11/2013 09:00:00 PM,19,0,0,10,9
05/11/2013 10:00:00 PM,9,0,0,2,7
05/11/2013 11:00:00 PM,4,0,0,0,4
05/12/2013 12:00:00 AM,7,0,0,0,7
05/12/2013 01:00:00 AM,1,0,0,0,1
05/12/2013 02:00:00 AM,2,0,0,0,2
05/12/2013 03:00:00 AM,1,0,0,0,1
05/12/2013 04:00:00 AM,2,0,0,0,2
05/12/2013 05:00:00 AM,3,0,0,1,2
05/12/2013 06:00:00 AM,4,0,0,3,1
05/12/2013 07:00:00 AM,7,0,0,3,4
05/12/2013 08:00:00 AM,19,0,0,14,5
05/12/2013 09:00:00 AM,18,0,0,8,10
05/12/2013 10:00:00 AM,22,0,0,15,7
05/12/2013 11:00:00 AM,28,0,0,18,10
05/12/2013 12:00:00 PM,46,0,0,26,20
05/12/2013 01:00:00 PM,47,0,0,21,26
05/12/2013 02:00:00 PM,63,0,0,28,35
05/12/2013 03:00:00 PM,71,0,0,39,32
05/12/2013 04:00:00 PM,55,0,0,20,35
05/12/2013 05:00:00 PM,72,0,0,40,32
05/12/2013 06:00:00 PM,41,0,0,16,25
05/12/2013 07:00:00 PM,25,0,0,10,15
05/12/2013 08:00:00 PM,5,0,0,3,2
05/12/2013 09:00:00 PM,3,0,0,1,2
05/12/2013 10:00:00 PM,3,0,0,0,3
05/12/2013 11:00:00 PM,3,0,0,0,3
05/13/2013 12:00:00 AM,0,0,0,0,0
05/13/2013 01:00:00 AM,0,0,0,0,0
05/13/2013 02:00:00 AM,2,0,0,1,1
05/13/2013 03:00:00 AM,1,0,0,0,1
05/13/2013 04:00:00 AM,1,0,0,0,1
05/13/2013 05:00:00 AM,25,0,0,13,12
05/13/2013 06:00:00 AM,66,0,0,43,23
05/13/2013 07:00:00 AM,181,0,0,132,49
05/13/2013 08:00:00 AM,150,0,0,122,28
05/13/2013 09:00:00 AM,70,0,0,54,16
05/13/2013 10:00:00 AM,26,0,0,17,9
05/13/2013 11:00:00 AM,13,0,0,7,6
05/13/2013 12:00:00 PM,22,0,0,9,13
05/13/2013 01:00:00 PM,15,0,0,9,6
05/13/2013 02:00:00 PM,18,0,0,10,8
05/13/2013 03:00:00 PM,50,0,0,24,26
05/13/2013 04:00:00 PM,99,0,0,25,74
05/13/2013 05:00:00 PM,213,0,0,42,171
05/13/2013 06:00:00 PM,93,0,0,12,81
05/13/2013 07:00:00 PM,61,0,0,13,48
05/13/2013 08:00:00 PM,49,0,0,11,38
05/13/2013 09:00:00 PM,24,0,0,13,11
05/13/2013 10:00:00 PM,4,0,0,1,3
05/13/2013 11:00:00 PM,1,0,0,0,1
05/14/2013 12:00:00 AM,2,0,0,0,2
05/14/2013 01:00:00 AM,0,0,0,0,0
05/14/2013 02:00:00 AM,0,0,0,0,0
05/14/2013 03:00:00 AM,2,0,0,1,1
05/14/2013 04:00:00 AM,1,0,0,0,1
05/14/2013 05:00:00 AM,30,0,0,15,15
05/14/2013 06:00:00 AM,97,0,0,68,29
05/14/2013 07:00:00 AM,194,0,0,147,47
05/14/2013 08:00:00 AM,195,0,0,160,35
05/14/2013 09:00:00 AM,91,0,0,63,28
05/14/2013 10:00:00 AM,36,0,0,25,11
05/14/2013 11:00:00 AM,38,0,0,18,20
05/14/2013 12:00:00 PM,36,0,0,18,18
05/14/2013 01:00:00 PM,41,0,0,23,18
05/14/2013 02:00:00 PM,59,0,0,29,30
05/14/2013 03:00:00 PM,98,0,0,40,58
05/14/2013 04:00:00 PM,198,0,0,60,138
05/14/2013 05:00:00 PM,309,0,0,54,255
05/14/2013 06:00:00 PM,192,0,0,43,149
05/14/2013 07:00:00 PM,112,0,0,37,75
05/14/2013 08:00:00 PM,46,0,0,23,23
05/14/2013 09:00:00 PM,16,0,0,6,10
05/14/2013 10:00:00 PM,5,0,0,3,2
05/14/2013 11:00:00 PM,6,0,0,0,6
05/15/2013 12:00:00 AM,4,0,0,3,1
05/15/2013 01:00:00 AM,1,0,0,0,1
05/15/2013 02:00:00 AM,0,0,0,0,0
05/15/2013 03:00:00 AM,2,0,0,0,2
05/15/2013 04:00:00 AM,1,0,0,0,1
05/15/2013 05:00:00 AM,34,0,0,21,13
05/15/2013 06:00:00 AM,71,0,0,46,25
05/15/2013 07:00:00 AM,202,0,0,145,57
05/15/2013 08:00:00 AM,181,0,0,144,37
05/15/2013 09:00:00 AM,55,0,0,43,12
05/15/2013 10:00:00 AM,46,0,0,32,14
05/15/2013 11:00:00 AM,44,0,0,21,23
05/15/2013 12:00:00 PM,52,0,0,24,28
05/15/2013 01:00:00 PM,44,0,0,25,19
05/15/2013 02:00:00 PM,49,0,0,17,32
05/15/2013 03:00:00 PM,65,0,0,28,37
05/15/2013 04:00:00 PM,125,0,0,24,101
05/15/2013 05:00:00 PM,227,0,0,38,189
05/15/2013 06:00:00 PM,115,0,0,22,93
05/15/2013 07:00:00 PM,41,0,0,5,36
05/15/2013 08:00:00 PM,24,0,0,8,16
05/15/2013 09:00:00 PM,15,0,0,3,12
05/15/2013 10:00:00 PM,5,0,0,1,4
05/15/2013 11:00:00 PM,4,0,0,0,4
05/16/2013 12:00:00 AM,2,0,0,1,1
05/16/2013 01:00:00 AM,0,0,0,0,0
05/16/2013 02:00:00 AM,1,0,0,0,1
05/16/2013 03:00:00 AM,1,0,0,0,1
05/16/2013 04:00:00 AM,2,0,0,1,1
05/16/2013 05:00:00 AM,30,0,0,14,16
05/16/2013 06:00:00 AM,70,0,0,44,26
05/16/2013 07:00:00 AM,159,0,0,120,39
05/16/2013 08:00:00 AM,174,0,0,144,30
05/16/2013 09:00:00 AM,73,0,0,62,11
05/16/2013 10:00:00 AM,44,0,0,30,14
05/16/2013 11:00:00 AM,39,0,0,20,19
05/16/2013 12:00:00 PM,45,0,0,16,29
05/16/2013 01:00:00 PM,54,0,0,18,36
05/16/2013 02:00:00 PM,72,0,0,35,37
05/16/2013 03:00:00 PM,81,0,0,44,37
05/16/2013 04:00:00 PM,177,0,0,51,126
05/16/2013 05:00:00 PM,288,0,0,63,225
05/16/2013 06:00:00 PM,182,0,0,46,136
05/16/2013 07:00:00 PM,120,0,0,46,74
05/16/2013 08:00:00 PM,63,0,0,33,30
05/16/2013 09:00:00 PM,29,0,0,11,18
05/16/2013 10:00:00 PM,10,0,0,3,7
05/16/2013 11:00:00 PM,8,0,0,2,6
05/17/2013 12:00:00 AM,4,0,0,1,3
